block	trial	vStim1	vStim2	aStim	resp	rt	fb	iti	feedJitter	vSymbol1	vSymbol2	vSymbolCorrect	aFile	stimOnset	respOnset	feedbackOnset
2	1	2	1	1	0	0	2	2516	2420	f	e	e	norm_au.wav	7560	0	12005
2	2	3	1	1	1	1231	0	3054	1958	g	e	e	norm_au.wav	17084	18315	21072
2	3	1	3	1	2	1340	0	2115	2093	e	g	e	norm_au.wav	25212	26552	29350
2	4	3	2	3	0	0	2	2542	2361	g	f	g	norm_k.wav	33924	0	38311
2	5	1	4	4	2	1443	1	2813	930	e	h	h	norm_f.wav	43155	44598	46107
2	6	2	1	2	2	1883	0	2776	2677	f	e	f	norm_e.wav	50922	52805	55623
2	7	3	4	3	0	0	2	1943	1902	g	h	g	norm_k.wav	59583	0	63506
2	8	4	2	4	1	1101	1	2117	1878	h	f	h	norm_f.wav	67650	68751	71553
2	9	2	3	3	2	1424	1	2192	1396	f	g	g	norm_k.wav	75761	77185	79178
2	10	2	3	2	1	1547	1	1788	1463	f	g	f	norm_e.wav	82983	84530	86462
2	11	4	2	4	1	1710	1	3058	2098	h	f	h	norm_f.wav	91542	93252	95666
2	12	3	4	4	2	1316	1	2067	1555	g	h	h	norm_f.wav	99760	101076	103337
2	13	1	4	4	2	1522	1	2685	2369	e	h	h	norm_f.wav	108041	109563	112453
2	14	1	4	1	1	1358	1	2484	2709	e	h	e	norm_au.wav	116960	118318	121682
2	15	2	3	2	2	1385	0	3675	2348	f	g	f	norm_e.wav	127377	128762	131739
2	16	1	3	3	0	0	2	2944	1901	e	g	g	norm_k.wav	136709	0	140643
2	17	3	2	2	2	1858	1	3046	2480	g	f	f	norm_e.wav	145700	147558	150218
2	18	4	3	3	2	1602	1	1754	1019	h	g	g	norm_k.wav	153990	155592	157023
2	19	4	1	4	1	1240	1	1892	1727	h	e	h	norm_f.wav	160937	162177	164683
2	20	4	1	1	2	1511	1	1798	2107	h	e	e	norm_au.wav	168505	170016	172636
2	21	3	2	2	0	0	2	2744	2244	g	f	f	norm_e.wav	177398	0	181680
2	22	1	2	2	1	1319	0	3266	2417	e	f	f	norm_e.wav	186969	188288	191417
2	23	2	1	2	1	1275	1	2401	1102	f	e	f	norm_e.wav	195846	197121	198974
2	24	3	1	3	1	1775	1	1969	2793	g	e	g	norm_k.wav	202970	204745	207776
2	25	1	2	1	1	1484	1	2128	1597	e	f	e	norm_au.wav	211929	213413	215540
2	26	2	1	1	2	1515	1	2379	1780	f	e	e	norm_au.wav	219931	221446	223723
2	27	3	4	4	2	1086	1	3272	2052	g	h	h	norm_f.wav	229020	230106	233097
2	28	3	1	1	0	0	2	2874	1699	g	e	e	norm_au.wav	237991	0	241704
2	29	1	3	3	2	1462	1	2656	2062	e	g	g	norm_k.wav	246377	247839	250458
2	30	2	4	4	2	1097	1	2659	1580	f	h	h	norm_f.wav	255145	256242	258741
2	31	3	1	1	0	0	2	2448	2145	g	e	e	norm_au.wav	263201	0	267359
2	32	2	3	2	2	1614	0	1955	2151	f	g	f	norm_e.wav	271330	272944	275525
2	33	2	4	2	1	1837	1	2403	2718	f	h	f	norm_e.wav	279956	281793	284697
2	34	1	4	4	2	938	1	3050	2050	e	h	h	norm_f.wav	289758	290696	293825
2	35	2	4	4	2	864	1	2411	1417	f	h	h	norm_f.wav	298257	299121	301689
2	36	2	1	1	2	1205	1	2538	1426	f	e	e	norm_au.wav	306242	307447	309681
2	37	4	2	2	2	1453	1	2496	3292	h	f	f	norm_e.wav	314200	315653	319529
2	38	1	3	3	2	1538	1	2068	1033	e	g	g	norm_k.wav	323621	325159	326692
2	39	3	2	3	1	1403	1	2417	2855	g	f	g	norm_k.wav	331135	332538	336017
2	40	2	3	3	2	1766	1	2387	1666	f	g	g	norm_k.wav	340420	342186	344125
